=========================BEGIN==========================
Archiválva 230416.1504: http://web.archive.org/save/https://mandiner.hu/
44. Archiválva 230416.1542: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_pokol_bela_velemeny_usa_magyarorszag_szovjetunio_kulfold
45. Archiválva 230416.1543: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_dezse_balazs_velemeny_amerika_usa_europa
46. Archiválva 230416.1544: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_paranoid_android_velemeny_kulfold_usa_orosz_ukran_haboru_fegyverkezes
47. Archiválva 230416.1545: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_ambrus_jobbagyi_zsofia_belfold_velemeny_mesterseges_intelligencia_gyerekek
48. Archiválva 230416.1546: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_gyurcsany_ferenc_baloldal_ellenzek_dk_belfold_velemeny_orban_viktor_gazdasag
49. Archiválva 230416.1547: http://web.archive.org/save/https://mandiner.hu/cikk/20230412_mi_a_no
50. Archiválva 230416.1547: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_ki_a_papokkal_az_iskolakbol
51. Archiválva 230416.1548: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_melletted_vagyunk_henrik
52. Archiválva 230416.1549: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_spiclitorveny_sunyiban
53. Archiválva 230416.1551: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_nem_az_a_baj_hogy_gyongyosit_fogadjak_az_amerikai_kovetsegen
55. Archiválva 230416.1551: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_magyarorszag_erdeke_hogy_egyutt_haladjon_szovetsegeseivel
56. Archiválva 230416.1552: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_uj_realista_szelek_eledeznek_az_atlantista_kulpolitikai_strategiaban
54 Egyéb hiba itt 230416.1553: https://mandiner.hu/cikk/20230415_a_80_eves_biden_biztos_benne_hogy_indul_az_elnokvalasztason
58. Archiválva 230416.1554: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_hogy_en_mekkora_geci_vagyok
57. Archiválva 230416.1554: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_hatalmas_volt_az_erdeklodes
59. Archiválva 230416.1555: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_a_hanyatlo_nyugat_es_a_vihogo_libsi
60. Archiválva 230416.1556: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_amikor_nyolceves_voltam_a_hev_en_utazva_megkerdeztem_az_apukamat_miert_van_az_hogy_a_kukim_idonkent_felall
61. Archiválva 230416.1557: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_most_mar_nem_tehetem_meg_hogy_tovabbra_is_hallgatok
62. Archiválva 230416.1558: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_szmodis_jogallamisag_eu_alkotmanybirosag_magyarorszag_ecj_eub_birosag_alkotmany_identitas
63. Archiválva 230416.1559: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_tonkretesz_az_inflacio
64. Archiválva 230416.1600: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_horn_gyula_setany_elnevezes_velemeny
65. Archiválva 230416.1600: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_lendvai_ildiko_velemeny
66. Archiválva 230416.1601: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_voros_tamas_egyesult_allamok_szivarogtatas_kulfold_donald_trump_velemeny
67. Archiválva 230416.1602: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_kondor_katalin_velemeny_belfold_david_pressman
68. Archiválva 230416.1603: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_kardos_gabor_velemeny_farkas_politika_belfold_borsod_vadaszat
69. Archiválva 230416.1603: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_volodimir_zelenszkij_katyn_volhinia
70. Archiválva 230416.1604: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_jaszberenyi_sandor_velemeny_farkas_belfold_kulfold
71. Archiválva 230416.1605: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_oroszorszag_ukrajna_orosz_ukran_haboru_kulfold_bendarzsevszkij_anton_velemeny
72. Archiválva 230416.1606: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_bartus_laszlo_belfold_novak_katalin_amerikai_nepszava
73. Archiválva 230416.1607: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_belfold_nemzetkozi_beruhazasi_bank_novak_katalin_velemeny
74. Archiválva 230416.1607: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_greczy_zsolt_velemeny_belfold_david_pressman_orban_viktor
75. Archiválva 230416.1609: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_fidesz_budapest_belfold_velemeny_facebook_cenzura
76. Archiválva 230416.1609: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_gyurcsany_ferenc_hollik_istvan_velemeny_belfold
77. Archiválva 230416.1610: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_velemeny_kulfold_usa_puzser_robert_donald_trump
78. Archiválva 230416.1611: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_robert_c_castel_velemeny_kulfold_egyesult_allamok_cia
79. Archiválva 230416.1612: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_az_europai_orszagok_hatalmas_erofeszitest_tettek_az_usa_oldalan_afganisztanban_es_nem_kicsit_irakban
80. Archiválva 230416.1613: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_kotter_tamas_velemeny_belfold_demszky_gabor_karacsony_gergely
81. Archiválva 230416.1613: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_bayer_zsolt_velemeny_kivandorlas_francesca_rivafinoli_kulfold_nemetorszag
82. Archiválva 230416.1614: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_velemeny_belfold_mathe_zsuzsa_snussz
83. Archiválva 230416.1615: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_gyurcsany_ferenc_baloldal_ellenzek_dk_belfold_velemeny
84. Archiválva 230416.1616: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_duzzado_szegyenlista_nemetorszag_velemeny_deme_daniel_gyermekvedelmi_torveny
85. Archiválva 230416.1617: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_schmidt_maria_velemeny_terrorizmus_kulfold
86 Egyéb hiba itt 230416.1617: https://mandiner.hu/cikk/20230414_ungvary_zsolt_velemeny_belfold_budapest
87. Archiválva 230416.1619: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_bartus_laszlo_velemeny_orosz_ukran_haboru_kulfold_56_belfold
88. Archiválva 230416.1619: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_belfold_kozelet_ellenzek_szorp_okulas_bognar_zsolt_velemeny
89. Archiválva 230416.1621: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_a_mezogazdasagban_a_siker_a_tuleles_zaloga_mindig_az_alkalmazkodas
90. Archiválva 230416.1621: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_hargitai_miklos_nepszava_belfold_belpolitika_velemeny_roszatom_atom_paks
91. Archiválva 230416.1622: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_gyermekvedelmi_torveny_jogallamisag_brusszel_hatter_velemeny
92. Archiválva 230416.1623: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_pressman_vigyazo_szemet_kenytelen_az_orban_barat_republikanusokon_tartani
93. Archiválva 230416.1623: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_bartus_laszlo_amerikai_nepszava_david_pressman_belfold_belpolitika_velemeny
95. Archiválva 230416.1625: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_perintfalvi_rita_teologus_velemeny_facebook_erotika
96. Archiválva 230416.1626: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_az_orszag_egyik_fele_mindig_arulo_volt
94 Egyéb hiba itt 230416.1626: https://mandiner.hu/cikk/20230413_belfold_ellenzek_baloldal_kommunistak_lelektan_trombitas_kristof_velemeny
97. Archiválva 230416.1627: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_belfold_ellenzek_budapest_csod_kiss_ambrus_alpolgarmester_fidesz_budapest_velemeny
98. Archiválva 230416.1628: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_niedermuller_peter_velemeny_facebook_gazdasag_erzsebervaros_dk
99. Archiválva 230416.1628: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_belfold_farkas_svajc_borsod_vadasz_tarjanyi_peter_velemeny
100. Archiválva 230416.1629: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_szantai_janos_foter_romania_velemeny_politika
101. Archiválva 230416.1630: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_1956_orosz_nagykovetseg_amerika_velemeny
102. Archiválva 230416.1631: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_kulfold_ukrajna_oroszorszag_haboru_alekszej_navalnij_fidesz_vago_istvan_velemeny
103. Archiválva 230416.1632: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_belfold_kozelet_budapest_elet_biztonsag_nyugat_boris_kalnoky_velemeny
104. Archiválva 230416.1633: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_gabor_gyorgy_klubradio_velemeny_novak_katalin_valasz_belfold
105. Archiválva 230416.1633: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_trombitas_kristof_kulfold_szlovakia_felvidek_velemeny
106. Archiválva 230416.1634: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_nagy_attila_tibor_belfold_velemeny_nemzetkozi_beruhazasi_bank
107 Egyéb hiba itt 230416.1634: https://mandiner.hu/cikk/20230413_bognar_zsolt_velemeny_dobrev_klara_orban_viktor_belfold
108. Archiválva 230416.1636: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_karacsony_gergely_belfold_budapest
109. Archiválva 230416.1637: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_martin_ethelwolf_belfold_velemeny_kulfold
110. Archiválva 230416.1637: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_szabo_timea_belfold_orban_viktor_kulfold_kembank
111. Archiválva 230416.1638: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_ot_tezis_az_antifasizmusrol
112. Archiválva 230416.1639: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_fekete_gyor_andras_momentum_belfold_velemeny_orban_kormany_kulfold_oroszorszag_usa
113. Archiválva 230416.1640: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_somkuti_balint_velemeny_pentagon_kulfold_egyesult_allamok
114. Archiválva 230416.1641: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_perintfalvi_rita_belfold_velemeny_veres_andras
115. Archiválva 230416.1642: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_velemeny_bayer_zsolt_magyar_nemzet_david_pressman_usa_amerika
116. Archiválva 230416.1642: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_dezse_balazs_belfold_velemeny_vasarhelyi_maria
117. Archiválva 230416.1643: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_bartus_laszlo_velemeny_orban_viktor_belfold_fidesz_nato_eu
118. Archiválva 230416.1644: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_gyurcsany_ferenc_belfold_dk_velemeny_fidesz
119. Archiválva 230416.1645: http://web.archive.org/save/https://mandiner.hu/cikk/20230412_hat_most_sem_jonnek_a_kek_sisakosok
120. Archiválva 230416.1646: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_tordai_bence_pilhal_gyorgy_velemeny_belfold
121. Archiválva 230416.1647: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_juszt_laszlo_belfold_velemeny_fidesz_orban_viktor
122. Archiválva 230416.1647: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_nemeth_peter_velemeny_nepszava_azonnali_kerdesek_oraja_orszaggyules_parlament
123. Archiválva 230416.1648: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_gyongyosi_marton_david_pressman_kaszab_zoltan_velemeny
124. Archiválva 230416.1649: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_bayer_zsolt_velemeny_usa_amerika_david_pressman_magyarorszag_szankcio_nagykovet
125. Archiválva 230416.1650: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_kulfold_velemeny_emmanuel_macron_amerika_europai_unio_fuggetlenseg_robert_c_castel
126. Archiválva 230416.1651: http://web.archive.org/save/https://mandiner.hu/cikk/20230412_csicskatempo
127. Archiválva 230416.1652: http://web.archive.org/save/https://mandiner.hu/cikk/20230412_2016_ban_orban_a_brexit_ellen_kampanyolt
128. Archiválva 230416.1652: http://web.archive.org/save/https://mandiner.hu/cikk/20230412_stiroles_velememy_pozsonyi_adam
129. Archiválva 230416.1653: http://web.archive.org/save/https://mandiner.hu/cikk/20230412_valasz_andor_laszlonak_greczy_zsolt
130. Archiválva 230416.1654: http://web.archive.org/save/https://mandiner.hu/cikk/20230412_nem_leszunk_oroszorszag_es_putyin_trojai_falova
131. Archiválva 230416.1655: http://web.archive.org/save/https://mandiner.hu/cikk/20230412_belfold_diplomacia_usa_david_pressman_nagykovetseg_deutsch_tamas_velemeny
132. Archiválva 230416.1656: http://web.archive.org/save/https://mandiner.hu/cikk/20230412_ki_kell_utasitanunk_az_orszagbol_az_orosz_kembankot
133. Archiválva 230416.1657: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_dardai_pal_foci_sport_hertha
134. Archiválva 230416.1657: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_kulfold_veradas_lmbtq_nemiseg
135. Archiválva 230416.1659: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_rocky_hill_usa_kulfold_rablok_tamadas
136. Archiválva 230416.1659: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_holokauszt_emleknap_belfold_zsidosag
137. Archiválva 230416.1700: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_katolikus_egyhaz_ferenc_papa_kulfold_vatikan_szerelem_szolgalat
138. Archiválva 230416.1702: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_orosz_ukran_haboru_kulfold_himars_tamadas_ukrajna_luhanszk
139. Archiválva 230416.1702: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_david_pressman_usa_pecs
140. Archiválva 230416.1702: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_nagy_arat_fizetett_a_disney_az_lmbtq_filmekert
141. Archiválva 230416.1703: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_kotottfogas_porzse_sandor_konok_peter_reichert_janos_balogh_gabor_szereto_szabolcs_baloldal_belfold_velemeny
142. Archiválva 230416.1704: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_kiralyi_ceremonia
144. Archiválva 230416.1706: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_kitiltas_muveszet_pottyondy_edina_standup_gyula_belfold_lemondas
143. Archiválva 230416.1706: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_a_holland_kormany_engedelyezi_az_eutanazia_vegrehajtasat_12_ev_alatti_halalos_betegeken_is
145. Archiválva 230416.1707: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_az_ukranok_himars_raketaval_lovik_az_oroszokat
146. Archiválva 230416.1707: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_halott_kisgyermeket_talaltak_egy_auto_csomagtartojaban_nyiregyhazan
147. Archiválva 230416.1708: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_vajon_milyen_tetkot_varratott_dopeman_a_kezere
148. Archiválva 230416.1709: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_artista_duna_kotel_egyensulyozas_bravur_belfold
149. Archiválva 230416.1710: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_somogyi_zoltan_elismerte_az_o_cege_keszitette_az_amerikaiak_ruszki_haza_plakatkampanyat
150. Archiválva 230416.1711: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_kenya_noi_sakkversenyen_indult_egy_burkaba_oltozott_ferfi
151. Archiválva 230416.1712: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_ormenyorszagban_felgyujtottak_az_azeri_sulyemelok_nemzeti_zaszlajat
153. Archiválva 230416.1713: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_mem_tortenelem_internet_foto_oktatas
152. Archiválva 230416.1714: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_hatalmas_robbanas_tortent_egy_orosz_varos_katonai_gyakorloteruleten
154. Archiválva 230416.1714: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_szijjarto_orban_uj_feladat
155. Archiválva 230416.1715: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_porsche_auto_kulfold_lelato_autoverseny_baleset
156. Archiválva 230416.1716: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_otszaz_nap_a_fold_alatt_uj_vilagrekordot_allitott_fel_egy_spanyol_no
157. Archiválva 230416.1717: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_harcok_tortek_ki_szudanban
158. Archiválva 230416.1718: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_japan_kormanyfo_fustbomba
159. Archiválva 230416.1719: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_capa_harapas_bikini_buvar_video_kulfold
160. Archiválva 230416.1719: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_stephen_king_transzfobia_twitter_abortusz
161. Archiválva 230416.1720: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_jupiter_urszonda_magyarorszag_europa
162. Archiválva 230416.1721: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_daniel_peter_izrael_kivandorlas_ugyved_kulfold
163. Archiválva 230416.1722: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_elon_musk_nematalakitas_lmbtq_gyerekek_velemeny
164. Archiválva 230416.1722: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_maroth_gaspar_allamtitkar_nemetorszag_hadiipar
165. Archiválva 230416.1724: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_egyesult_allamok_esozes_karambol_szemelyvonat_auto_video_kulfold
166. Archiválva 230416.1724: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_emmanuel_macron_notre_dame_szekesegyhaz_parizs_franciaorszag_ujjaepites
167. Archiválva 230416.1725: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_erotikus_fotok_es_a_tinik_ettol_a_felmerestol_minden_szulo_haja_egnek_fog_allni
168. Archiválva 230416.1726: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_karacsony_gergely_belfold_budapest
169. Archiválva 230416.1727: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_del_korea_kulfold_macska_kutya
170. Archiválva 230416.1728: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_ukrajna_kulfold_haboru_oroszorszag_sport
171. Archiválva 230416.1728: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_itt_a_magyarazat_ezert_olcsobb_a_magyar_epernel_a_gorog_es_a_spanyol
172. Archiválva 230416.1730: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_kulfold_napoly_milano_foci_kovacs_istvan_per_biro
173. Archiválva 230416.1730: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_belfold_idojaras_hetvege
174. Archiválva 230416.1731: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_tek_belfold_budapest_hos_utca
175. Archiválva 230416.1732: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_belfold_rongalas_markajelzes_auto_lopas_mako
176. Archiválva 230416.1732: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_ezeket_a_gyumolcsoket_sujtottak_leginkabb_a_tavaszi_fagyok
177. Archiválva 230416.1733: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_cserkuti_jozsef_autosport_versenyzo_belfold_halaleset
178. Archiválva 230416.1735: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_felhelyeztek_a_bokretafat_az_ujjaszuleto_jozsef_fohercegi_palota_tetejere_galeria
179. Archiválva 230416.1735: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_ket_ongollal_bukta_gyozelmet_a_manchester_united_az_europa_ligaban
180. Archiválva 230416.1737: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_kulfold_ukrajna_karpatalja_ormanyzo_viktor_mikita_kituntetes
181. Archiválva 230416.1737: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_toth_gabi_karpatok_madonnaja_ner_enekesno_olyan_alacsony_szint_nem_erek_ra_ezzel_foglalkozni
182. Archiválva 230416.1737: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_tudomany_csillagaszat_nasa_mars_szimulator
183. Archiválva 230416.1738: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_romania_luxus_elelmiszer_roman_nemzeti_bank
184. Archiválva 230416.1739: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_kulfold_ukrajna_oroszorszag_haboru_raketak
185. Archiválva 230416.1740: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_oroszorszag_ukrajna_ungvar_szovjet_katona_viktor_silov_kulfold
186. Archiválva 230416.1741: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_farkas_svajc_borsod_belfold_magyarorszag
