=========================BEGIN==========================
Archiválva 230219.0337: http://web.archive.org/save/https://makronom.mandiner.hu
28. Archiválva 230219.1458: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230213_tenyek_koltseges_elhuzodo_hideghaboru_elott_allunk_ex_cia_emelzo
29. Archiválva 230219.1459: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230213_atomforradalom_vagy_csak_igeret_mini_atomeromuvek_atomenergia_reneszansza
30 Hiba itt 230219.1502: https://makronom.mandiner.hu/cikk/20230213_nemetorszag_bevandorlas_angela_merkel_makronom
31. Archiválva 230219.1503: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230213_jol_kezdte_evet_forint
32. Archiválva 230219.1504: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230213_dolgoznak_megis_szegenysegben_elnek
33. Archiválva 230219.1505: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230213_nikkel_nagyhatalom_magahoz_lancolja_akkumulatorgyartokat_indonezia
34. Archiválva 230219.1506: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230210_visszahuzza_e_europat_es_a_magyarokat_nemet_gazdasag_az_iden
35. Archiválva 230219.1508: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230212_demografia_csaladtamogatas_makronom_nepesseg
36. Archiválva 230219.1509: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230212_azeri_iran_fegyveres_tamadas_margojara
37. Archiválva 230219.1510: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230211_nemetorszag_haboru_usa_egyesult_kiralysag_makronom
38. Archiválva 230219.1512: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230211_gyorselemzes_2023_januar_inflacios_adat_Makronom_Intezet
39. Archiválva 230219.1513: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230211_kina_afrika_makronom_eladosodas
40. Archiválva 230219.1514: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230211_europai_gazdasag_infografika_leggazdagabbak_makronom
41. Archiválva 230219.1516: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230124_jack_ma_kiszoritasa_kinai_milliardosoknak_szol_alibaba_ant_group_penzugy
42. Archiválva 230219.1517: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230209_ausztralia_india_fegyverkezes_makronom
43. Archiválva 230219.1518: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230210_becslesek_hatasa_huzhat_vagy_lehuzhat_gyorgy_laszlo_kormanybiztos_interju
44. Archiválva 230219.1520: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230210_windows_11_frissites_sotet_mod_notepad_microsoft
45. Archiválva 230219.1521: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230210_ukrajna_eu_brusszel_ursula_von_der_leyen_makronom
46. Archiválva 230219.1523: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230210_kina_usa_makronom_geopolitika_ritkafoldfemek
47. Archiválva 230219.1524: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230209_haboru_kina_tajvan_makronom
48. Archiválva 230219.1525: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230209_vesztesegebol_elore_menekul_a_boeing_nasa
49. Archiválva 230219.1526: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230209_kina_usa_afrika_adossag_makronom
50. Archiválva 230219.1528: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230209_csokkent_davosi_vilaggazdasagi_forum_befolyasa
51. Archiválva 230219.1529: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230207_a_gazdasagi_vilaghaboru_muveleti_elemzese_pozsar_szerint
52. Archiválva 230219.1530: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230209_torok_tozsde_borsa_istanbul_foldrenges_reszvenyek_zuhanas_makronom
53. Archiválva 230219.1532: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230208_bmw_usa_tamogatasi_csomag_zold_atallas_makronom
54. Archiválva 230219.1534: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230208_javult_termek_kulkereskedelmi_egyenleg_KSH_adatok
55. Archiválva 230219.1535: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230208_van_tennivalonk_digitalizacio_teruleten_interju_ivsz_fotitkaraval
56. Archiválva 230219.1536: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230208_chatgpt_rossz_kezekbe_kerul_mesterseges_intelligencia
57. Archiválva 230219.1537: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230208_olcsobb_lett_a_gabona_csokken_egyes_tejtermekek_ara
58. Archiválva 230219.1539: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230208_amerika_torleszto_elmaradas_inflacio
59. Archiválva 230219.1540: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230208_eu_csucs_kereskedelmi_haboru_green_deal_ipari_terv_makronom
60. Archiválva 230219.1542: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230207_usa_donald_trump_joe_biden_ron_desantis_makronom
61. Archiválva 230219.1544: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230207_a_vilag_nincs_felkeszulve_a_hosszu_recessziora
62. Archiválva 230219.1545: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230207_okos_chatgpt_konkurens_google_chatbot
63. Archiválva 230219.1547: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230207_ksh_erdemben_novekedett_ipari_termeles
64. Archiválva 230219.1548: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230207_orosz_valasz_a_nyugati_tankokra_robotokkal_a_harckocsik_ellen
65. Archiválva 230219.1549: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230206_ingatlanpiac_tavasztol_ujra_felporgo_felujitasok
66. Archiválva 230219.1552: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230206_haboru_usa_joe_biden_makronom
67. Archiválva 230219.1553: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230206_kem_leggomb_kina_amerika_kemkedes_kina_usa_viszony
68. Archiválva 230219.1554: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230205_mezogazdasag_elelmiszerinflacio_ukran_gabona_termelok
69. Archiválva 230219.1556: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230125_belkekozvetites_ukrajna_oroszorszag_sachs_makronom
70. Archiválva 230219.1557: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230206_jelentes_a_chiphaborubol_washington_szorongatja_pekinget_kina_elleni_amerikai_hadmozdulat_hollandia
71. Archiválva 230219.1558: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230206_porog_magyar_it_szektor_cegek_tobbsege_egyedi_fejleszteseket_kinal_digitalizacio
72. Archiválva 230219.1600: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230206_ukran_gabona_export_eu_s_agrarpiac_tonkretetele_makronom
73. Archiválva 230219.1601: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230201_a_zold_befektetes_ketelu_fegyver
74. Archiválva 230219.1603: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230205_mesterseges_intelligencia_vizsgazik_egyetemistak_helyett_panikban_pedagogusok
75. Archiválva 230219.1604: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230203_tiz_ev_nagyot_ugrottunk_realber_magyarorszag
76. Archiválva 230219.1605: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230205_kina_sri_lanka_adossag_makronom
77. Archiválva 230219.1607: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230205_a_rolls_royce_veszelyezteti_a_nemet_tankgyartast
78 Hiba itt 230219.1608: https://makronom.mandiner.hu/cikk/20230205_energiavalsag_ellenere_a_magyar_kkv_k_kitartanak
79. Archiválva 230219.1610: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230201_buy_hold_sell_fintech_befektetoi_korkep
80. Archiválva 230219.1611: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230203_uzemanyagar_inflacio_nyomaban
81. Archiválva 230219.1613: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230204_usa_tesla_elon_musk_makronom
82. Archiválva 230219.1614: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230203_svajc_leopard_tank_semleges_fegyver_eu_ukrajna_makronom
83. Archiválva 230219.1615: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230131_gabonapiac_ukran_import_europai_bizottsag_makronom
84. Archiválva 230219.1617: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230127_nogradi_gyorgy_csortek_uj_esztendo_elso_heteiben
85. Archiválva 230219.1619: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230201_churchill_dedunokaja_visszafele_sulhet_el_ha_csodbe_akarjak_vinni_oroszorszagot_hugo_dixon_breakingviews
86. Archiválva 230219.1620: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230121_ukrajna_fegyverteszteles_usa_fegyverfejlesztes
87. Archiválva 230219.1622: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230118_scholz_bloomberg_interju_kereskedelmi_haboru_mandiner_makronom
88. Archiválva 230219.1624: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230116_vestager_level_kereskedelmi_haboru_mandiner_makronom
89. Archiválva 230219.1625: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230116_norvegia_haborus_nyereszkedes_norveg_nyugdijalap_makronom
90. Archiválva 230219.1626: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230103_kozvelemenykutatas_ukrajnai_haboru_makronom_legyen_beke
91. Archiválva 230219.1628: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221230_negynapos_munkahet_kiserlet_makronom
92. Archiválva 230219.1629: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230103_ritkafoldfem_japan_melytengeri_banyaszat_kina_makronom
93 Hiba itt 230219.1631: https://makronom.mandiner.hu/cikk/20230104_kina_usa_azsia_makronom
94. Archiválva 230219.1632: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221216_olajarsapka_szankciok_orosz_valasz_makronom
95. Archiválva 230219.1634: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221217_a_10_legmeredekebb_gazdasagi_elorejelzes_2023_ra
96. Archiválva 230219.1635: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221219_vb_gyozelem_argentina_gdp_kutatas_makronom
97. Archiválva 230219.1636: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221215_nemet_ipar_minuszok_recesszio_kilatasok_makronom_mandiner
98. Archiválva 230219.1637: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221206_beintenek_amerikanak_es_a_dollar_uralmanak_ezek_a_nagy_orszagok
99. Archiválva 230219.1639: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221209_nemzetkozi_helyzet_nogradi_gyorgy_elemzes_makronom_mandiner
100 Hiba itt 230219.1640: https://makronom.mandiner.hu/cikk/20221209_trend_fm_kontakt_elektro_hidrogen_technologia_makronom
101 Hiba itt 230219.1642: https://makronom.mandiner.hu/cikk/20221205_kereskedelmi_haboru_usa_eu_von_der_leyen_makronom
102. Archiválva 230219.1643: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221129_ovodasok_nemletezo_munkat_vegeznek_Fivosz_Makronom_Fiatal_Vallalkozok_Hete
103. Archiválva 230219.1645: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230102_svajc_migracio_kvota_nepszavazas_makronom
104. Archiválva 230219.1646: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221201_dunaujvaros_vegora_vasmu_beavatkozas_kormany_hatarozat_aram_villanyszamla_Dunaferr_megmentes
105. Archiválva 230219.1647: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221107_lopakodo_vadaszgep_kina_j_20_makronom
106. Archiválva 230219.1649: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221109_zold_atallas_elektromos_jarmu_2035_makronom_autoipar
107. Archiválva 230219.1651: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221119_fradi_ftc_europa_liga_bevetel
108. Archiválva 230219.1652: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221115_kereszteshadjaratot_hirdet_az_usa_akarcsak_a_kozepkori_papak
109. Archiválva 230219.1653: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221113_kender_a_kihasznalatlan_lehetosegek_novenye
110. Archiválva 230219.1655: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221026_elektromos_autok_benzines_kedvezo_valasztas_osszehasonlitas
111. Archiválva 230219.1656: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221024_elektromos_toltoallomas_kina_e_jarmu_makronom
112. Archiválva 230219.1658: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221026_makronom_biogaz_palkovics_atallas
113. Archiválva 230219.1659: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221018_varkonyi_gabor_makronom_autopiac_europa_lemarad
114. Archiválva 230219.1701: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221025_gazkartell_europai_bizottsag_szijjarto_peter_makronom
115 Hiba itt 230219.1703: https://makronom.mandiner.hu/cikk/20221011_kincsem_hidrogenmeghajtas_magyar_sportauto_hidrogen_jovoje
116. Archiválva 230219.1704: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20220929_putyin_es_a_hatalmi_csucs_szindroma
117. Archiválva 230219.1705: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20220929_kalyha_kalyhavasarlas_kalyha_ar_fatuzeles_rezsidijak
118. Archiválva 230219.1707: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20220914_dramai_atalakulas_a_lakaspiacon_nem_csak_a_rezsiemelkedes_miatt_erre_szamithatunk
119. Archiválva 230219.1708: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20220919_zelenszkij_fegyverellatas_haboru_lobbi_makronom
120. Archiválva 230219.1710: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20220823_metaverzum_utopia_startup_tech
121. Archiválva 230219.1712: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20220809_kina_legyozte_jack_mat
122. Archiválva 230219.1713: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20220721_fulop_szigetek_fintech_paradicsom
123. Archiválva 230219.1715: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20220713_ausztraliaban_nagybankok_allnak_nyeresre
124. Archiválva 230219.1717: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20220704_harc_a_fiatalokert
125. Archiválva 230219.1718: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20220613_fizetes_es_adozas_kriptoval
126. Archiválva 230219.1720: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230203_washingtoni_wunderwaffe
127. Archiválva 230219.1722: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230203_palfordulas_amerikai_bekeajanlat_az_oroszoknak
128. Archiválva 230219.1723: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230130_tankkeringo_ukrajna_kegyeiert_leopard_abrams_leclerc_challenger_nyugat_kijev_ukrajna_vadaszgep_legvedelmi_raketak
129. Archiválva 230219.1724: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230125_vad_joslatok_amikor_egy_nemet_dandartabornok_all_ki_a_beke_mellett
130. Archiválva 230219.1726: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230120_tevhitek_cafolatok_magyar_gazdasag_allapotarol_inflacio_makronom_elemzes_elso
131. Archiválva 230219.1727: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230125_emmanuel_todd_a_harmadik_vilaghaboru_mar_elkezdodott
132. Archiválva 230219.1729: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230125_felforgato_hatassal_lehet_a_mesterseges_intelligencia_robbanasa
133. Archiválva 230219.1730: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230117_von_fer_leyen_valasz_amerikanak_iparmegmento_terv_mandiner_makronom
134. Archiválva 230219.1732: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230112_kina_tiktok_fiatalok_influencer_usa
135. Archiválva 230219.1734: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230113_oriasi_tartalek_magyar_gazdasag_vg_vilaggazdasag_makronom_intezet
136. Archiválva 230219.1735: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230102_oroszorszag_ukrajna_putyin_makronom
137. Archiválva 230219.1736: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221229_fegyvergyartas_hadiipar_globalis_makronom
138. Archiválva 230219.1737: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230104_csempeszet_es_kreativ_kulkereskedelem_oroszorszag_tanulja_az_import_nelkuli_eletet
139. Archiválva 230219.1739: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230105_ujbol_tarol_koronavirus_kinaban_baj_van_elemzes
140. Archiválva 230219.1740: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221219_intel_beruhazas_torlese_nemet_ipar_makronom
141 Hiba itt 230219.1742: https://makronom.mandiner.hu/cikk/20221216_hal_halpiac_halaszat_ponty_harcsa_karacsonyi_halaszle
142 Hiba itt 230219.1743: https://makronom.mandiner.hu/cikk/20221216_ujjaepulhet_energiahid
143. Archiválva 230219.1745: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221208_szaloncukor_csokolade_karacsony_edessegipar
144. Archiválva 230219.1746: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221212_lambrecht_haboru_hibak_makronom
145. Archiválva 230219.1747: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221213_megallapodas_EU_Brusszel_magyar_gazdasag_hatasok
146. Archiválva 230219.1748: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221130_debrecen_fejlodese_meg_londonbol_is_latszik
147. Archiválva 230219.1750: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221202_ukran_fegyverszallitmanyok_rayheon_lockheed_szerzodesek_makronom
148. Archiválva 230219.1752: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221202_macron_biden_targyalas_kereskedelmi_haboru_makronom
149. Archiválva 230219.1754: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221117_tiz_legjobban_megbant_foiskolai_szak_amerikaban
150. Archiválva 230219.1756: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221117_jatekok_karacsony_inflacio_vasarlasi_szokasok
151. Archiválva 230219.1757: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221111_husipar_dragulas_serteshus_csirkehus_energiakrizis_vagohidak
152. Archiválva 230219.1758: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221113_kettos_felhasznalasu_termekek_haboru_dronok_makronom
153 Hiba itt 230219.1801: https://makronom.mandiner.hu/cikk/20221121_bevandorlo_illegalis_europa_torvenytelen_makronom_mandiner
154. Archiválva 230219.1802: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221030_orosz_olelesbol_a_kinai_fuggosegbe_szalad_bele_nemetorszag
155. Archiválva 230219.1804: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221102_arstop_arsapka_kulonbseg_armaximalizalas_makronom_mandiner
156. Archiválva 230219.1805: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221028_makronom_felidos_valasztas_ukran_haboru
157. Archiválva 230219.1807: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221025_kiberhaboru_kibervedelem_elemzes_masodik_resz_makronom_mandiner
158. Archiválva 230219.1809: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221024_geotermikus_energia_kormany_fejlesztes_makronom
159. Archiválva 230219.1810: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221021_orban_eu_csucs_makronom_energia_gaz_arsapka
160. Archiválva 230219.1812: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221005_energiabiztonsag_tenger_alatti_vezetekek_makronom
161. Archiválva 230219.1813: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221008_eu_csucs_energiavalsag_scholz_makronom
162. Archiválva 230219.1815: http://web.archive.org/save/https://mandiner.hu/sutitajekoztato
0. Archiválva 230219.1816: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230208_nem_lehet_eleg_koran_tanulni_a_penzugyekrol
1. Archiválva 230219.1817: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230215_profitehseg_arazas_inflacio_jelentos_oka_Makronom_Intezet_8
2. Archiválva 230219.1819: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20230213_nemetorszag_bevandorlas_angela_merkel_makronom
3 Hiba itt 230219.1821: https://makronom.mandiner.hu/cikk/20230205_energiavalsag_ellenere_a_magyar_kkv_k_kitartanak
4 Hiba itt 230219.1823: https://makronom.mandiner.hu/cikk/20230104_kina_usa_azsia_makronom
5 Hiba itt 230219.1824: https://makronom.mandiner.hu/cikk/20221209_trend_fm_kontakt_elektro_hidrogen_technologia_makronom
6. Archiválva 230219.1825: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221205_kereskedelmi_haboru_usa_eu_von_der_leyen_makronom
7. Archiválva 230219.1826: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221011_kincsem_hidrogenmeghajtas_magyar_sportauto_hidrogen_jovoje
8. Archiválva 230219.1826: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221216_hal_halpiac_halaszat_ponty_harcsa_karacsonyi_halaszle
9. Archiválva 230219.1828: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221216_ujjaepulhet_energiahid
10. Archiválva 230219.1829: http://web.archive.org/save/https://makronom.mandiner.hu/cikk/20221121_bevandorlo_illegalis_europa_torvenytelen_makronom_mandiner
Mandiner makronom futásidő: 14:53:11.4515087
